Index,Percent
1,100.0
2,50.0
3,66.66666666666667
4,75.0
5,80.0
6,66.66666666666667
7,71.42857142857143
8,62.5
9,66.66666666666667
10,60.0
11,63.63636363636363
12,66.66666666666667
13,69.23076923076923
14,64.28571428571429
15,66.66666666666667
16,62.5
17,64.70588235294117
18,66.66666666666667
19,68.42105263157895
20,70.0
21,71.42857142857143
22,72.72727272727273
23,73.91304347826087
24,75.0
25,76.0
26,76.92307692307692
27,77.77777777777777
28,78.57142857142857
29,79.3103448275862
30,80.0
31,80.64516129032258
32,81.25
33,81.81818181818181
34,82.3529411764706
35,82.85714285714286
36,83.33333333333333
37,83.78378378378379
38,84.21052631578948
39,84.61538461538461
40,85.0
41,85.36585365853658
42,85.71428571428571
43,83.72093023255815
44,81.81818181818181
45,80.0
46,80.43478260869566
47,80.85106382978724
48,81.25
49,81.63265306122449
50,82.0
51,82.3529411764706
52,82.6923076923077
53,83.01886792452831
54,83.33333333333333
55,83.63636363636364
56,82.14285714285714
57,80.70175438596492
58,81.03448275862068
59,79.66101694915254
60,80.0
61,80.32786885245902
62,79.03225806451613
63,79.36507936507937
64,79.6875
65,78.46153846153847
66,77.27272727272727
67,76.11940298507463
68,76.47058823529412
69,76.81159420289855
70,75.71428571428571
71,74.64788732394366
72,75.0
73,75.34246575342466
74,75.67567567567568
75,76.0
76,76.3157894736842
77,76.62337662337663
78,76.92307692307692
79,77.21518987341773
80,77.5
81,77.77777777777777
82,78.04878048780488
83,78.3132530120482
84,78.57142857142857
85,78.82352941176471
86,79.06976744186046
87,78.16091954022988
88,77.27272727272727
89,76.40449438202248
90,76.66666666666667
91,76.92307692307692
92,76.08695652173913
93,76.34408602150538
94,75.53191489361703
95,74.73684210526316
96,73.95833333333333
97,74.22680412371135
98,74.48979591836735
99,73.73737373737374
100,73.0
101,73.26732673267327
102,72.54901960784314
103,72.81553398058253
104,72.11538461538461
105,72.38095238095238
106,71.69811320754717
107,71.96261682242991
108,72.22222222222223
109,72.4770642201835
110,72.72727272727273
111,72.07207207207207
112,72.32142857142857
113,72.56637168141593
114,71.9298245614035
115,72.17391304347827
116,72.41379310344827
117,72.64957264957265
118,72.88135593220339
119,73.10924369747899
120,72.5
121,71.90082644628099
122,72.1311475409836
123,72.35772357723577
124,72.58064516129032
125,72.8
126,73.01587301587301
127,73.22834645669292
128,73.4375
129,73.64341085271317
130,73.07692307692308
131,73.2824427480916
132,73.48484848484848
133,72.93233082706767
134,73.13432835820896
135,73.33333333333333
136,72.79411764705883
137,72.26277372262774
138,72.46376811594203
139,72.66187050359713
140,72.85714285714286
141,73.04964539007092
142,73.2394366197183
143,72.72727272727273
144,72.91666666666667
145,73.10344827586206
146,72.6027397260274
147,72.10884353741497
148,72.29729729729729
149,71.81208053691275
150,72.0
151,72.18543046357615
152,72.36842105263158
153,72.54901960784314
154,72.72727272727273
155,72.90322580645162
156,73.07692307692308
157,73.2484076433121
158,72.78481012658227
159,72.95597484276729
160,72.5
161,72.67080745341615
162,72.8395061728395
163,73.00613496932516
164,73.17073170731707
165,73.33333333333333
166,73.49397590361446
167,73.65269461077844
168,73.80952380952381
169,73.37278106508876
170,73.52941176470588
171,73.09941520467837
172,73.25581395348837
173,73.41040462427746
174,72.98850574712644
175,72.57142857142857
176,72.72727272727273
177,72.31638418079096
178,71.91011235955057
179,71.50837988826815
180,71.66666666666667
181,71.8232044198895
182,71.97802197802197
183,72.1311475409836
184,71.73913043478261
185,71.89189189189189
186,72.04301075268818
187,72.19251336898395
188,72.34042553191489
189,71.95767195767196
